year,month,YENAGOA,CALABAR,PORT
2013,January,1.608,2.466,1.072
2013,February,3.156,4.84,2.104
2013,March,1.344,2.361,0.896
2013,April,2.324,3.463,1.549
2013,May,3.321,5.092,2.214
2013,June,1.723,3.438,1.625
2013,July,1.325,1.067,0.467
2013,August,1.480,3.302,1.653
2013,September,0.701,3.204,1.654
2013,October,1.400,3.673,1.597
2013,November,1.823,3.715,1.615
2013,December,1.942,4.425,1.924
2014,January,3.138,4.812,2.092
2014,February,3.306,5.069,2.204
2014,March,3.113,4.031,2.622
2014,April,3.361,3.666,2.507
2014,May,1.818,2.788,1.212
2014,June,2.332,3.028,2.621
2014,July,1.783,3.595,1.563
2014,August,2.011,3.076,2.207
2014,September,2.345,2.318,1.747
2014,October,2.666,2.861,1.244
2014,November,2.340,4.354,1.893
2014,December,2.566,6.199,2.695
2015,January,1.215,1.863,0.810
2015,February,3.392,5.2,2.261
2015,March,1.665,2.553,1.110
2015,April,2.248,3.214,1.832
2015,May,1.727,2.647,1.151
2015,June,1.018,2.302,1.001
2015,July,0.614,2.169,0.943
2015,August,0.623,0.955,0.415
2015,September,1.415,2.518,1.312
2015,October,1.289,3.51,1.526
2015,November,1.314,2.935,1.276
2015,December,1.456,2.833,0.971
2016,January,2.375,3.641,1.583
2016,February,0.786,1.205,0.524
2016,March,0.993,1.273,0.662
2016,April,1.010,1.686,0.733
2016,May,0.770,1.18,0.513
2016,June,1.145,2.369,1.030
2016,July,1.062,1.971,0.857
2016,August,1.085,1.663,0.723
2016,September,1.286,2.606,1.359
2016,October,1.371,2.702,0.914
2016,November,1.376,2.109,0.917
2016,December,1.571,1.769,0.769
2017,January,1.271,1.948,0.847
2017,February,1.044,2.401,1.044
2017,March,1.641,2.316,1.094
2017,April,1.014,1.32,1.009
2017,May,0.579,0.888,0.386
2017,June,1.277,1.877,1.251
2017,July,1.233,2.18,0.948
2017,August,1.416,2.861,1.244
2017,September,1.422,2.37,1.248
2017,October,1.688,2.742,1.192
2017,November,2.168,4.398,1.912
2017,December,2.675,2.414,0.919